| FUTSTK     | MARUTI     |     -1 | 1148740200 | 48229 |   125 | XX         | MARUTI     |
| FUTSTK     | MCDOWELL-N |     -1 | 1148740200 | 48240 |   250 | XX         | MCDOWELL-N |
| FUTSTK     | MCLEODRUSS |     -1 | 1148740200 | 48241 |  2200 | XX         | MCLEODRUSS |
| FUTSTK     | MINDTREE   |     -1 | 1148740200 | 48245 |   800 | XX         | MINDTREE   |
| FUTSTK     | MOTHERSUMI |     -1 | 1148740200 | 48247 |  1500 | XX         | MOTHERSUMI |
| FUTSTK     | MRF        |     -1 | 1148740200 | 48248 |    15 | XX         | MRF        |
| FUTSTK     | NCC        |     -1 | 1148740200 | 48249 |  8000 | XX         | NCC        |
| FUTSTK     | NHPC       |     -1 | 1148740200 | 48250 | 27000 | XX         | NHPC       |
| FUTSTK     | NMDC       |     -1 | 1148740200 | 48255 |  5000 | XX         | NMDC       |
| FUTSTK     | NTPC       |     -1 | 1148740200 | 48256 |  4000 | XX         | NTPC       |
| FUTSTK     | OFSS       |     -1 | 1148740200 | 48258 |   150 | XX         | OFSS       |
| FUTSTK     | OIL        |     -1 | 1148740200 | 48261 |  1200 | XX         | OIL        |
| FUTSTK     | ONGC       |     -1 | 1148740200 | 48271 |  2000 | XX         | ONGC       |
| FUTSTK     | ORIENTBANK |     -1 | 1148740200 | 48272 |  3000 | XX         | ORIENTBANK |
| FUTSTK     | PAGEIND    |     -1 | 1148740200 | 48273 |    50 | XX         | PAGEIND    |
| FUTSTK     | PCJEWELLER |     -1 | 1148740200 | 48282 |  1300 | XX         | PCJEWELLER |
| FUTSTK     | PETRONET   |     -1 | 1148740200 | 48283 |  3000 | XX         | PETRONET   |
| FUTSTK     | PFC        |     -1 | 1148740200 | 48284 |  2000 | XX         | PFC        |
| FUTSTK     | PIDILITIND |     -1 | 1148740200 | 48285 |  1000 | XX         | PIDILITIND |
| FUTSTK     | PNB        |     -1 | 1148740200 | 48286 |  4000 | XX         | PNB        |
| FUTSTK     | POWERGRID  |     -1 | 1148740200 | 48287 |  4000 | XX         | POWERGRID  |
| FUTSTK     | PTC        |     -1 | 1148740200 | 48288 |  8000 | XX         | PTC        |
| FUTSTK     | RCOM       |     -1 | 1148740200 | 48289 |  8000 | XX         | RCOM       |
| FUTSTK     | RECLTD     |     -1 | 1148740200 | 48290 |  2000 | XX         | RECLTD     |
| FUTSTK     | RELCAPITAL |     -1 | 1148740200 | 48291 |  1500 | XX         | RELCAPITAL |
| FUTSTK     | RELIANCE   |     -1 | 1148740200 | 48295 |   500 | XX         | RELIANCE   |
| FUTSTK     | RELINFRA   |     -1 | 1148740200 | 48296 |  1300 | XX         | RELINFRA   |
| FUTSTK     | RPOWER     |     -1 | 1148740200 | 48297 | 12000 | XX         | RPOWER     |
| FUTSTK     | SAIL       |     -1 | 1148740200 | 48298 |  9000 | XX         | SAIL       |
| FUTSTK     | SBIN       |     -1 | 1148740200 | 48299 |  2000 | XX         | SBIN       |
| FUTSTK     | SIEMENS    |     -1 | 1148740200 | 48300 |   400 | XX         | SIEMENS    |
| FUTSTK     | SKSMICRO   |     -1 | 1148740200 | 48301 |  1000 | XX         | SKSMICRO   |
| FUTSTK     | SOUTHBANK  |     -1 | 1148740200 | 48302 | 22000 | XX         | SOUTHBANK  |
| FUTSTK     | SRF        |     -1 | 1148740200 | 48303 |   400 | XX         | SRF        |
| FUTSTK     | SRTRANSFIN |     -1 | 1148740200 | 48304 |   600 | XX         | SRTRANSFIN |
| FUTSTK     | STAR       |     -1 | 1148740200 | 48305 |   400 | XX         | STAR       |
| FUTSTK     | SUNPHARMA  |     -1 | 1148740200 | 48306 |   600 | XX         | SUNPHARMA  |
| FUTSTK     | SUNTV      |     -1 | 1148740200 | 48307 |  2000 | XX         | SUNTV      |
| FUTSTK     | SYNDIBANK  |     -1 | 1148740200 | 48308 |  5000 | XX         | SYNDIBANK  |
| FUTSTK     | TATACHEM   |     -1 | 1148740200 | 48309 |  1100 | XX         | TATACHEM   |
| FUTSTK     | TATACOMM   |     -1 | 1148740200 | 48310 |  1100 | XX         | TATACOMM   |
| FUTSTK     | TATAELXSI  |     -1 | 1148740200 | 48317 |   300 | XX         | TATAELXSI  |
| FUTSTK     | TATAGLOBAL |     -1 | 1148740200 | 48318 |  4000 | XX         | TATAGLOBAL |
| FUTSTK     | TATAMOTORS |     -1 | 1148740200 | 48319 |  1500 | XX         | TATAMOTORS |
| FUTSTK     | TATAMTRDVR |     -1 | 1148740200 | 48320 |  2100 | XX         | TATAMTRDVR |
| FUTSTK     | TATAPOWER  |     -1 | 1148740200 | 48321 |  8000 | XX         | TATAPOWER  |
| FUTSTK     | TATASTEEL  |     -1 | 1148740200 | 48322 |  2000 | XX         | TATASTEEL  |
| FUTSTK     | TCS        |     -1 | 1148740200 | 48323 |   200 | XX         | TCS        |
| FUTSTK     | TECHM      |     -1 | 1148740200 | 48324 |  1000 | XX         | TECHM      |
| FUTSTK     | TITAN      |     -1 | 1148740200 | 48325 |  1500 | XX         | TITAN      |
| FUTSTK     | TORNTPHARM |     -1 | 1148740200 | 48326 |   400 | XX         | TORNTPHARM |
| FUTSTK     | TV18BRDCST |     -1 | 1148740200 | 48327 | 17000 | XX         | TV18BRDCST |
| FUTSTK     | TVSMOTOR   |     -1 | 1148740200 | 48328 |  2000 | XX         | TVSMOTOR   |
| FUTSTK     | UBL        |     -1 | 1148740200 | 48331 |   500 | XX         | UBL        |
| FUTSTK     | UCOBANK    |     -1 | 1148740200 | 48332 | 10000 | XX         | UCOBANK    |
| FUTSTK     | ULTRACEMCO |     -1 | 1148740200 | 48333 |   200 | XX         | ULTRACEMCO |
| FUTSTK     | UNIONBANK  |     -1 | 1148740200 | 48334 |  3000 | XX         | UNIONBANK  |
| FUTSTK     | UNITECH    |     -1 | 1148740200 | 48335 | 77000 | XX         | UNITECH    |
| FUTSTK     | UPL        |     -1 | 1148740200 | 48336 |  1000 | XX         | UPL        |
| FUTSTK     | VEDL       |     -1 | 1148740200 | 48337 |  4000 | XX         | VEDL       |
| FUTSTK     | VOLTAS     |     -1 | 1148740200 | 48342 |  1600 | XX         | VOLTAS     |
| FUTSTK     | WIPRO      |     -1 | 1148740200 | 48343 |  1000 | XX         | WIPRO      |
| FUTSTK     | WOCKPHARMA |     -1 | 1148740200 | 48344 |   375 | XX         | WOCKPHARMA |
| FUTSTK     | YESBANK    |     -1 | 1148740200 | 48345 |   700 | XX         | YESBANK    |
| FUTSTK     | ZEEL       |     -1 | 1148740200 | 48346 |  1300 | XX         | ZEEL       |
| FUTIDX     | NIFTY      |     -1 | 1148740200 | 47958 |   75  | XX         | NIFTY      |
